kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_teq,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_model_snr,koi_num_transits
K05444.01,FALSE POSITIVE,FALSE POSITIVE,,368.70839,6.08,957.0,2.87,0.887,267.0,6409.0,4.523,-0.72,15.417,12.2,
K05445.01,FALSE POSITIVE,FALSE POSITIVE,0.0,7.1091096,10.67,156.7,1.08,0.82,855.0,5665.0,4.568,-0.2,15.71,13.0,194.0
K05446.01,CANDIDATE,CANDIDATE,,416.9504,4.026,479.8,7.35,2.611,377.0,5751.0,3.708,-0.28,12.692,6.9,
K05567.01,FALSE POSITIVE,FALSE POSITIVE,0.0,397.3958488,6.1014,29825.0,64.56,1.362,280.0,5544.0,4.146,0.1,14.857,395.7,4.0
K05568.01,CONFIRMED,CANDIDATE,0.814,62.134919,8.711,147.5,6.71,4.912,925.0,5889.0,3.358,0.28,13.435,10.6,8.0
K05569.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.667482003,1.5931,545.5,15.15,6.72,3257.0,4678.0,2.756,-0.1,12.882,50.2,805.0
K05570.01,CANDIDATE,CANDIDATE,,574.65297,4.37,725.0,2.28,0.821,196.0,5596.0,4.553,-0.2,14.789,7.4,
K05571.01,FALSE POSITIVE,FALSE POSITIVE,0.0,5.29730786,4.02,190.8,1.49,1.0,1044.0,5780.0,4.438,0.0,10.25,13.1,262.0
K05572.01,CANDIDATE,CANDIDATE,,21.9578446,1.038,96.6,0.78,0.802,533.0,5192.0,4.583,0.16,13.596,6.7,
K05573.01,FALSE POSITIVE,FALSE POSITIVE,,77.395279,5.26,437.0,6.16,2.995,646.0,5158.0,3.541,-0.32,13.774,7.9,
K05574.01,CANDIDATE,CANDIDATE,,373.41509,6.617,1806.0,2.55,0.612,158.0,4236.0,4.642,-0.22,15.85,10.0,
K05693.01,FALSE POSITIVE,FALSE POSITIVE,,612.882452,2.024,631.0,2.42,0.956,217.0,6029.0,4.494,-0.1,14.453,7.5,
K05694.01,CANDIDATE,CANDIDATE,,107.904526,2.053,249.4,1.26,0.802,337.0,5565.0,4.574,-0.2,14.295,6.1,
K05695.01,FALSE POSITIVE,FALSE POSITIVE,0.0,11.03571773,5.62958,144955.0,70.42,1.23,991.0,6201.0,4.213,-0.58,14.916,959.6,8.0
K05696.01,FALSE POSITIVE,FALSE POSITIVE,0.507,42.093314,4.649,886.0,2.19,0.763,407.0,4885.0,4.541,-0.02,16.523,7.4,21.0
K05697.01,FALSE POSITIVE,FALSE POSITIVE,,274.10859251,6.59,,,,,,,,15.496,,
K05698.01,CANDIDATE,CANDIDATE,,282.029084,4.686,312.8,2.33,1.287,363.0,6886.0,4.305,-0.36,13.49,8.1,
K05699.01,FALSE POSITIVE,FALSE POSITIVE,,339.18109,5.34,157.9,1.7,1.344,332.0,6407.0,4.209,-0.3,12.637,11.5,
K05700.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.55650976,12.7364,687454.0,283.93,2.433,2353.0,8105.0,3.937,-0.2,11.882,3867.7,0.0
K05812.01,CANDIDATE,CANDIDATE,,3.1318392,1.632,159.9,1.5,1.159,1443.0,6070.0,4.246,-0.56,14.122,6.0,
K05813.01,FALSE POSITIVE,FALSE POSITIVE,,38.27772448,1.73,,,,,,,,14.293,,
K05814.01,FALSE POSITIVE,FALSE POSITIVE,0.0,25.285232337,4.76313,63021.6,69.68,1.136,740.0,6486.0,4.337,-0.46,12.138,5902.4,43.0
K05815.01,CANDIDATE,CANDIDATE,,207.767894,5.21,320.6,3.52,1.849,379.0,5210.0,3.894,-0.04,13.744,7.7,
K05816.01,CANDIDATE,CANDIDATE,,82.508054,3.806,351.9,14.04,7.733,878.0,4986.0,3.01,0.21,12.594,11.4,
K05817.01,CANDIDATE,CANDIDATE,0.95,113.083522,10.315,130.7,1.59,1.4,450.0,5903.0,4.179,0.1,13.336,13.0,12.0
K05818.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.23138339,3.943,72.7,0.82,0.958,1648.0,5791.0,4.505,0.21,14.804,21.0,1094.0
K05819.01,CANDIDATE,CANDIDATE,,381.37504,16.57,286.5,1.24,0.729,212.0,5513.0,4.614,-0.46,14.182,11.8,
K05447.01,FALSE POSITIVE,FALSE POSITIVE,,322.55663046,3.74,,,,,,,,12.75,,
K05448.01,FALSE POSITIVE,FALSE POSITIVE,0.0,7.2269859,14.241,160.3,0.79,0.609,603.0,4347.0,4.645,-0.34,14.941,26.2,192.0
K05449.01,FALSE POSITIVE,FALSE POSITIVE,0.768,0.762724045,1.98818,9782.2,41.02,0.976,1860.0,5313.0,4.39,0.14,14.5,451.7,1755.0
K05450.01,FALSE POSITIVE,FALSE POSITIVE,,206.76425774,2.57,,,,,,,,15.996,,
K05451.01,CANDIDATE,CANDIDATE,,529.39169,10.869,319.9,4.4,2.504,319.0,5283.0,3.699,-0.26,13.156,12.1,
K05452.01,FALSE POSITIVE,FALSE POSITIVE,,362.49906,12.17,522.5,2.51,1.065,277.0,6043.0,4.369,-0.24,15.259,10.3,
K05453.01,FALSE POSITIVE,FALSE POSITIVE,,190.65896,35.472,552.8,2.54,0.835,281.0,5508.0,4.549,-0.06,15.043,18.3,
K05454.01,CONFIRMED,CANDIDATE,,509.997402,8.481,1267.0,2.62,0.756,182.0,5037.0,4.54,-0.2,14.15,35.3,3.0
K05575.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.50650036,2.762,45.4,0.81,1.126,1809.0,6201.0,4.336,-0.24,13.912,15.0,894.0
K05576.01,FALSE POSITIVE,FALSE POSITIVE,,194.48732212,3.6,,,,,,,,13.989,,
K05577.01,CANDIDATE,CANDIDATE,,495.51899,3.592,297.6,2.94,1.634,305.0,6043.0,4.038,-0.18,13.5,6.6,
K05578.01,CANDIDATE,CANDIDATE,,388.048463,3.456,149.6,3.0,2.46,376.0,5779.0,3.765,-0.2,11.084,8.3,
K05579.01,CANDIDATE,CANDIDATE,,34.0269868,1.586,361.7,1.57,0.801,455.0,4999.0,4.514,0.02,15.592,6.2,
K05580.01,CANDIDATE,CANDIDATE,,173.219879,1.875,239.5,2.41,1.518,405.0,6007.0,4.158,0.16,13.957,5.7,
K05581.01,CONFIRMED,CANDIDATE,0.968,374.878133,10.556,914.6,4.27,1.354,282.0,5636.0,4.218,0.42,14.508,21.9,3.0
K05582.01,FALSE POSITIVE,FALSE POSITIVE,0.0,5.2362026,3.148,2019.5,75.83,1.631,1378.0,6176.0,4.112,0.04,14.786,28.2,19.0
K05701.01,FALSE POSITIVE,FALSE POSITIVE,,48.55059299,1.79,,,,,,,,15.227,,
K05702.01,CANDIDATE,CANDIDATE,,511.882,4.822,610.0,2.56,1.007,241.0,6141.0,4.454,-0.12,15.462,6.5,
K05703.01,FALSE POSITIVE,FALSE POSITIVE,,247.372131,3.271,513.4,2.47,1.0,290.0,5780.0,4.438,,13.359,12.4,
K05704.01,CANDIDATE,CANDIDATE,,96.16705,2.775,270.7,1.15,0.716,313.0,5147.0,4.617,-0.26,13.419,7.2,
K05705.01,FALSE POSITIVE,FALSE POSITIVE,,95.254421,3.379,465.4,2.2,1.012,413.0,6063.0,4.476,0.07,15.833,6.1,
K05706.01,CONFIRMED,CANDIDATE,0.904,425.483539,17.856,996.6,3.2,1.022,248.0,5977.0,4.473,0.21,15.807,19.6,4.0
K05707.01,CANDIDATE,CANDIDATE,,208.800733,1.964,594.0,2.88,1.168,347.0,6208.0,4.372,0.1,15.239,4.9,
K05708.01,FALSE POSITIVE,FALSE POSITIVE,0.973,7.863361238,3.42771,18156.7,22.7,1.4,1057.0,5615.0,4.136,0.1,12.524,723.3,138.0
K05820.01,FALSE POSITIVE,FALSE POSITIVE,,120.16983803,3.19,,,,,,,,12.138,,
K05821.01,CANDIDATE,CANDIDATE,,113.71363032,2.45,,,,,,,,15.499,,
K05822.01,CANDIDATE,CANDIDATE,,17.634272,1.387,76.7,1.69,1.979,842.0,4885.0,3.815,0.1,12.31,9.7,
K05823.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0.745086745,4.29,270.0,1.29,0.75,1654.0,5325.0,4.607,-0.22,15.489,61.4,1796.0
K05824.01,FALSE POSITIVE,FALSE POSITIVE,,247.47724314,7.6,,,,,,,,15.78,,
K05825.01,CANDIDATE,CANDIDATE,,208.047137,3.22,287.5,2.05,1.2,363.0,5991.0,4.175,-0.76,13.934,6.9,
K05826.01,CANDIDATE,CANDIDATE,,30.561533,2.227,585.7,1.53,0.664,379.0,4294.0,4.609,0.04,15.871,6.9,
K05827.01,CONFIRMED,CANDIDATE,0.999,6.10968225,5.735,60.3,0.79,1.009,1093.0,6024.0,4.309,-0.88,13.328,18.6,220.0
K05455.01,CANDIDATE,CANDIDATE,,292.09809,14.43,528.8,2.09,0.883,267.0,5955.0,4.534,-0.24,15.003,11.4,
K05456.01,FALSE POSITIVE,FALSE POSITIVE,,11.8045536,3.195,128.9,0.94,0.857,660.0,4971.0,4.482,0.28,14.274,7.0,
K05457.01,CANDIDATE,CANDIDATE,,578.21623,2.707,120.6,3.54,3.244,328.0,5166.0,3.6,0.14,11.619,3.5,
K05458.01,CANDIDATE,CANDIDATE,0.99,56.648588,4.534,648.9,2.19,0.782,377.0,5023.0,4.565,0.1,15.602,11.8,21.0
K05459.01,CANDIDATE,CANDIDATE,0.944,53.554546,5.533,127.6,3.1,2.622,769.0,6039.0,3.76,0.14,11.47,8.9,25.0
K05460.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.1748772,7.089,1741.0,8.8,1.619,1410.0,5116.0,3.994,0.22,14.395,98.6,43.0
K05461.01,CANDIDATE,CANDIDATE,,119.079642,16.268,422.5,17.89,8.984,795.0,4849.0,2.942,0.56,13.468,18.0,
K05462.01,FALSE POSITIVE,FALSE POSITIVE,,371.18648,19.929,317.9,2.06,1.152,291.0,6231.0,4.34,-0.1,13.937,18.1,
K05583.01,CANDIDATE,CANDIDATE,,20.5858591,3.069,260.2,1.31,0.753,586.0,5523.0,4.526,-0.72,15.306,6.6,
K05584.01,FALSE POSITIVE,FALSE POSITIVE,0.0,10.90962154,17.8024,499921.0,149.1,2.064,1127.0,5323.0,3.714,-0.76,14.096,2345.1,0.0
K05585.01,CANDIDATE,CANDIDATE,,113.573945,3.007,249.6,3.45,2.233,496.0,5155.0,3.768,-0.1,12.397,7.8,
K05586.01,FALSE POSITIVE,FALSE POSITIVE,0.0,27.0779813,138.54,347.5,2.03,0.85,597.0,5906.0,4.467,-0.76,14.17,139.4,53.0
K05587.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.827660875,3.986,46676.8,42.1,1.072,1664.0,6352.0,4.427,-0.16,14.268,890.3,737.0
K05588.01,CANDIDATE,CANDIDATE,,542.91133,15.9,750.1,2.27,0.824,199.0,5583.0,4.559,-0.14,15.373,13.1,
K05589.01,FALSE POSITIVE,FALSE POSITIVE,,376.554588,3.182,481.0,2.0,0.913,247.0,5926.0,4.519,-0.12,14.694,5.4,
K05590.01,FALSE POSITIVE,FALSE POSITIVE,,538.4263,12.751,242.0,3.2,2.028,322.0,5962.0,3.882,-0.2,12.099,16.2,
K05709.01,FALSE POSITIVE,FALSE POSITIVE,,94.20561159,6.62,,,,,,,,11.613,,
K05710.01,FALSE POSITIVE,FALSE POSITIVE,,378.70643955,14.66,,,,,,,,15.658,,
K05711.01,FALSE POSITIVE,FALSE POSITIVE,0.0,78.4286313,3.7368,83303.0,85.77,1.0,425.0,5780.0,4.438,0.0,15.069,112.6,7.0
K05712.01,CANDIDATE,CANDIDATE,,287.75613,5.487,1987.0,3.4,0.781,215.0,4965.0,4.586,0.24,16.925,6.6,
K05713.01,FALSE POSITIVE,FALSE POSITIVE,0.133,2.53021,21.79,367.9,41.44,1.296,1543.0,5780.0,4.178,-0.16,12.294,24.2,14.0
K05714.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.249000963,9.6022,58776.2,59.61,2.293,2126.0,6025.0,3.8,-0.28,12.502,1159.5,485.0
K05715.01,CANDIDATE,CANDIDATE,,189.961729,12.46,699.9,1.93,0.742,260.0,5335.0,4.613,-0.26,15.713,11.9,
K05716.01,FALSE POSITIVE,FALSE POSITIVE,,121.62387378,2.73,,,,,,,,12.209,,
K05836.01,CANDIDATE,CANDIDATE,,202.18722766,2.77,,,,,,,,13.762,,
K05837.01,CANDIDATE,CANDIDATE,,280.92070688,3.48,,,,,,,,15.261,,
K05838.01,FALSE POSITIVE,FALSE POSITIVE,,432.074696,4.763,1088.0,2.39,0.739,193.0,5183.0,4.608,-0.18,15.214,7.6,
K05839.01,CANDIDATE,CANDIDATE,,169.415073,3.884,239.9,2.32,1.378,413.0,6362.0,4.238,-0.02,12.427,9.8,
K05840.01,FALSE POSITIVE,FALSE POSITIVE,0.0,460.77905,15.541,239.3,4.24,2.717,387.0,6126.0,3.731,0.02,13.462,12.7,3.0
K05841.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.21318517,15.47,2046.1,8.24,1.513,1710.0,6712.0,4.159,-0.38,12.52,662.9,416.0
